id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250312-95026685-87903300,Friendly-Matches,20250312HRVUKR,2,Bo3,12/03/2025 20:00:00,0,95026685,87903300,Planned,84375106
20250312-84823639-94099302,Friendly-Matches,20250312HRVUKR,3,Bo3,12/03/2025 20:00:00,0,84823639,94099302,Planned,84375106
20250312-85397297-95704683,Friendly-Matches,20250312HRVUKR,4,Bo3,12/03/2025 20:00:00,0,85397297,95704683,Planned,84375106
20250312-94489595-84539193,Friendly-Matches,20250312HRVUKR,5,Bo3,12/03/2025 20:00:00,0,94489595,84539193,Planned,84375106
20250312-86611873-93914523,Friendly-Matches,20250312HRVUKR,6,Bo3,12/03/2025 20:00:00,0,86611873,93914523,Planned,84375106
20250312-93464744-93119390,Friendly-Matches,20250312BELITA,1,Bo3,12/03/2025 20:00:00,0,93464744,93119390,Planned,84375106
20250312-84635111-85718843,Friendly-Matches,20250312BELITA,2,Bo3,12/03/2025 20:00:00,0,84635111,85718843,Planned,84375106
20250312-84207551-90206175,Friendly-Matches,20250312BELITA,3,Bo3,12/03/2025 20:00:00,0,84207551,90206175,Planned,84375106
20250312-94586198-93267653,Friendly-Matches,20250312BELITA,4,Bo3,12/03/2025 20:00:00,0,94586198,93267653,Planned,84375106
20250312-89706622-11778383,Friendly-Matches,20250312BELITA,5,Bo3,12/03/2025 20:00:00,0,89706622,11778383,Planned,84375106
20250312-39136230-92870188,Friendly-Matches,20250312BELITA,6,Bo3,12/03/2025 20:00:00,0,39136230,92870188,Planned,84375106
20250312-89164268-89833062,Friendly-Matches,20250312BELITA,7,Bo3,12/03/2025 20:00:00,0,89164268,89833062,Planned,84375106
20250312-84142963-84461619,Friendly-Matches,20250312BELITA,8,Bo3,12/03/2025 20:00:00,0,84142963,84461619,Planned,84375106
20250309-90314669-86040310,Friendly-Matches,20250309FINHUN,1,Bo3,09/03/2025 19:00:00,0,90314669,86040310,Planned,84375106
20250309-96610271-85791390,Friendly-Matches,20250309FINHUN,2,Bo3,09/03/2025 19:00:00,0,96610271,85791390,Planned,84375106
20250309-87435630-85804056,Friendly-Matches,20250309FINHUN,3,Bo3,09/03/2025 19:00:00,0,87435630,85804056,Planned,84375106
20250309-89404935-85200567,Friendly-Matches,20250309FINHUN,4,Bo3,09/03/2025 19:00:00,0,89404935,85200567,Planned,84375106
20250309-85330667-90515417,Friendly-Matches,20250309FINHUN,5,Bo3,09/03/2025 19:00:00,0,85330667,90515417,Planned,84375106
20250309-96490976-91272541,Friendly-Matches,20250309UKRCHL,1,Bo3,09/03/2025 18:00:00,0,96490976,91272541,Planned,84375106
20250309-96031006-92594463,Friendly-Matches,20250309UKRCHL,2,Bo3,09/03/2025 18:00:00,0,96031006,92594463,Planned,84375106
20250309-93631741-96760040,Friendly-Matches,20250309UKRCHL,3,Bo3,09/03/2025 18:00:00,0,93631741,96760040,Planned,84375106
20250309-94546376-86876169,Friendly-Matches,20250309UKRCHL,4,Bo3,09/03/2025 18:00:00,0,94546376,86876169,Planned,84375106
20250309-95673062-96325168,Friendly-Matches,20250309UKRCHL,5,Bo3,09/03/2025 18:00:00,0,95673062,96325168,Planned,84375106
20250309-84883533-95038246,Friendly-Matches,20250309UKRCHL,6,Bo3,09/03/2025 18:00:00,0,84883533,95038246,Planned,84375106
20250309-95704683-96343766,Friendly-Matches,20250309UKRCHL,7,Bo3,09/03/2025 18:00:00,0,95704683,96343766,Planned,84375106
20250309-94099302-91685138,Friendly-Matches,20250309UKRCHL,8,Bo3,09/03/2025 18:00:00,0,94099302,91685138,Planned,84375106
20250308-84651577-90815584,Friendly-Matches,20250308LVACHN,1,Bo3,08/03/2025 13:30:00,0,84651577,90815584,Planned,84375106
20250308-94238979-90039390,Friendly-Matches,20250308LVACHN,2,Bo3,08/03/2025 13:30:00,0,94238979,90039390,Planned,84375106
20250308-90355270-90943003,Friendly-Matches,20250308LVACHN,3,Bo3,08/03/2025 13:30:00,0,90355270,90943003,Planned,84375106
20250308-94385542-92586304,Friendly-Matches,20250308LVACHN,4,Bo3,08/03/2025 13:30:00,0,94385542,92586304,Planned,84375106
20250308-83908851-89980329,Friendly-Matches,20250308LVACHN,5,Bo3,08/03/2025 13:30:00,0,83908851,89980329,Planned,84375106
20250308-84441803-87805107,Friendly-Matches,20250308LVACHN,6,Bo3,08/03/2025 13:30:00,0,84441803,87805107,Planned,84375106
20250308-14710161-89227574,Friendly-Matches,20250308LVACHN,7,Bo3,08/03/2025 13:30:00,0,14710161,89227574,Planned,84375106
20250308-92210211-93119390,Friendly-Matches,20250308TWNITA,1,Bo3,08/03/2025 13:00:00,0,92210211,93119390,Planned,84375106
20250308-85087743-90206175,Friendly-Matches,20250308TWNITA,2,Bo3,08/03/2025 13:00:00,0,85087743,90206175,Planned,84375106
20250308-84735357-85718843,Friendly-Matches,20250308TWNITA,3,Bo3,08/03/2025 13:00:00,0,84735357,85718843,Planned,84375106
20250308-88382620-84461619,Friendly-Matches,20250308TWNITA,4,Bo3,08/03/2025 13:00:00,0,88382620,84461619,Planned,84375106
20250308-91111047-89523610,Friendly-Matches,20250308TWNITA,5,Bo3,08/03/2025 13:00:00,0,91111047,89523610,Planned,84375106
20250303-88028287-84823639,Friendly-Matches,20250303TUTHRV,1,Bo3,03/03/2025 19:00:00,0,88028287,84823639,Planned,84375106
20250303-84974742-88411255,Friendly-Matches,20250303TUTHRV,2,Bo3,03/03/2025 19:00:00,0,84974742,88411255,Planned,84375106
20250303-89533460-86611873,Friendly-Matches,20250303TUTHRV,3,Bo3,03/03/2025 19:00:00,0,89533460,86611873,Planned,84375106
20250303-84395427-5833386,Friendly-Matches,20250303TUTHRV,4,Bo3,03/03/2025 19:00:00,0,84395427,5833386,Planned,84375106
20250303-95028431-94489595,Friendly-Matches,20250303TUTHRV,5,Bo3,03/03/2025 19:00:00,0,95028431,94489595,Planned,84375106
20250303-85313919-95122337,Friendly-Matches,20250303TUTHRV,6,Bo3,03/03/2025 19:00:00,0,85313919,95122337,Planned,84375106
20250303-84656084-95323720,Friendly-Matches,20250303TUTHRV,7,Bo3,03/03/2025 19:00:00,0,84656084,95323720,Planned,84375106
20250301-84362183-68743351,Friendly-Matches,20250301USAHKG,1,Bo3,01/03/2025 14:00:00,0,84362183,68743351,Planned,84375106
20250301-86745979-88457440,Friendly-Matches,20250301USAHKG,2,Bo3,01/03/2025 14:00:00,0,86745979,88457440,Planned,84375106
20250301-87152461-94809980,Friendly-Matches,20250301USAHKG,3,Bo3,01/03/2025 14:00:00,0,87152461,94809980,Planned,84375106
20250301-92601262-83915808,Friendly-Matches,20250301USAHKG,4,Bo3,01/03/2025 14:00:00,0,92601262,83915808,Planned,84375106
20250227-95055731-84885491,Friendly-Matches,20250227TUTITA,1,Bo3,27/02/2025 19:00:00,0,95055731,84885491,Planned,84375106
